text,safe,prev_maint,fuel_econ,money,value,appear,comf_conv,kid_safety,pet_safety,locks_security_car
Motor Oil Tip Another benefit of routine oil changes is that it gives frequent opportunities for the safety features of your vehicle to be checked.,1,1,0,0,0,0,0,0,0,0
"Motor Oil Tip Over time, engine oil breaks down, which causes it to lose its viscosity for properly lubricating your engine's cylinder walls.",0,1,0,1,1,0,0,0,0,0
"Motor Oil Tip Synthetic oils have a much lower evaporation rate than conventional oils, so you will need to top off less often.",0,1,0,1,0,0,1,0,0,0
Motor Oil Tip Stop-and-go driving increases engine heat. Consider switching to synthetic oil that provides greater high-temperature protection.,0,1,0,1,1,0,0,0,0,0
Motor Oil Tip Adding oil to your car is not a substitute for changing your oil on a regular basis.,0,1,0,1,1,0,0,0,0,0
Motor Oil Tip How well do you know your vehicle?  Do you notice that it tends to run more smoothly and with more power after an oil change?,0,0,1,0,0,0,1,0,0,0
"Motor Oil Tip Check your oil level at least once per month, and get repairs done at the first sign of a leak.  How often are you currently checking?",0,1,0,1,1,0,0,0,0,0
"Motor Oil Tip If your engine oil has a milky appearance, this could mean that antifreeze/coolant is leaking into your engine.",0,1,0,0,1,0,0,0,0,0
"Motor Oil Tip Oil becomes less effective as it ages.  Even if you don't drive much, you should still have your oil changed at least twice a year.",0,1,0,1,1,0,0,0,0,0
"Motor Oil Tip While more expensive, synthetic oils can maintain a more consistent viscosity over a broad range of operating temperatures.",0,1,0,0,1,0,0,0,0,0
Fuel Economy Tip ,0,0,1,0,0,0,0,0,0,0
"Comfort Tip To improve the comfort of your vehicle, replace shock absorbers as soon as they indicate signs of wear.",0,0,0,0,1,0,1,0,0,0
Fuel Economy Tip Have your front-end alignment regularly checked.  Poor alignment hurts fuel economy and causes added tire wear.,0,0,1,1,1,0,0,0,0,0
Fuel Economy Tip Routinely changing your air and fuel filters is good for both performance and your vehicle's fuel economy.,0,0,1,0,0,0,1,0,0,0
Weatherstripping Tip Fix bad weatherstripping immediately. Water leaking into your vehicle leads to rust and mold problems.,0,0,0,1,1,1,1,0,0,0
Automotive Care Tip Frequently check you tires for signs uneven wear. This can be an indication of a variety of problems with your vehicle.,1,1,1,1,1,0,0,0,0,0
Tire Care Tip Rotating your tires helps to distribute tire wear evenly and ensures that you'll get the maximum road life out of them.,0,0,0,1,1,0,0,0,0,0
Brake Fluid Tip Never use transmission or power-steering fluid as brake fluid for your vehicle.,1,1,0,1,1,0,0,0,0,0
"Brake Fluid Tip Don't use brake fluid from a previously opened bottle. Once exposed to air, brake fluid absorbs moisture and easily contaminates.",1,1,0,1,1,0,0,0,0,0
"Preventative Maintenance Tip Frequent oil changes flush abrasive dirt and metal particles out of your engine, and thereby helps prolong your engine's life.",0,1,0,1,1,0,0,0,0,0
"Hose Tip With your engine cool, squeeze the hoses under your hood. If they are hard or make a crunching sound, they should be replaced.",0,1,0,0,1,0,0,0,0,0
"Hose Tip With your engine warm but turned off, examine hoses for bulges and collapsed sections. If any are found, the hose should be replaced.",0,1,0,0,1,0,0,0,0,0
Battery Tip Keep your vehicle's battery clean.  A dirty case can cause electrical current to drain.,0,1,0,0,1,0,0,0,0,0
"Radiator Tip Coolant-antifreeze eventually degrades and becomes contaminated, which is why your system should be routinely flushed.",0,1,0,1,1,0,0,0,0,0
"Power Steering Tip In addition to making your vehicle difficult to steer, low power steering fluid can damage your power steering pump.",1,1,0,1,1,0,0,0,0,0
"Preventative Maintenance Tip Rather than waking up to a dead battery, it is better to have your vehicle's battery tested at least every 6 months.",0,1,0,0,0,0,1,0,0,0
"Differential Tip Have your differential fluid level checked and topped off, to prevent your differential running too hot and wearing prematurely.",0,1,0,1,1,0,0,0,0,0
Wheel Tip You should have your wheels balanced whenever you get a new tire or have an existing tire remounted after a flat.,1,0,1,1,1,0,0,0,0,0
"Transmission Fluid Tip Your transmission fluid should be checked regularly. When low, your transmission will run hotter and wear out sooner.",0,1,0,1,1,0,0,0,0,0
"Battery Tip If your vehicle's battery case has cracks or bulges, it should be replaced.",0,1,0,0,1,0,0,0,0,0
"Comfort Tip As rubber mounts and strut attachments begin to wear, your ride will become noisier and less comfortable.",1,0,0,0,1,0,1,0,0,0
"Coolant System Tip Engine damage from overheating can be very expensive, so regularly change your coolant fluid and have your system inspected.",0,1,0,1,1,0,0,0,0,0
"Power Steering Tip If you hear a whining noise while turning the wheel of your vehicle, have your power steering system checked immediately.",1,1,0,0,1,0,0,0,0,0
"Power Steering Tip If your steering feels slow to respond to steering wheel inputs when cornering, get your steering checked immediately.",1,1,0,0,1,0,0,0,0,0
"Power Steering Tip If your steering wheel starts to feel stiff, your power steering pump may be going bad and should be checked immediately.",1,1,0,0,1,0,0,0,0,0
"Power Steering Tip When starting your vehicle, if you hear a squealing noise from under your hood, get your power steering checked immediately.",1,1,0,0,1,0,0,0,0,0
"Exhaust System Tip Your exhaust system is exposed to weather, pressure, high heat, and vibration which can combine to create leaks and sudden failures.",1,1,0,0,0,0,0,0,0,0
Coolant System Tip Your coolant system should be pressure tested regularly for leaks.  Catching even small leaks can save you from major engine repairs.,0,1,0,1,1,0,0,0,0,0
"Water Pump Tip Common signs that your water pump needs maintenance include coolant leaks, overheating engine, or steam coming from your radiator.",0,1,0,0,1,0,0,0,0,0
"Differential Tip If your vehicle's differential begins making a humming sound at higher speeds, it should immediately be checked for low fluid level.",0,1,0,1,1,0,0,0,0,0
"Braking Tip If you ever notice anything unusual when braking, you should immediately bring your vehicle in to be inspected.",1,1,0,0,1,0,0,0,0,0
Shock Absorber Tip Signs of bad shocks include: unusual noises; excessive vehicle sway in turns; or the front end dives sharply during hard braking.,1,1,0,0,1,0,1,0,0,0
Universal Joint Tip A squeaking noise when first starting to move could be an indication that your universal joint needs to be serviced.,0,1,0,0,1,0,0,0,0,0
"Repair Tip When getting repairs done, consider the advantages of having original equipment manufacturer (""OEM"") parts used.",0,0,0,0,1,0,0,0,0,0
"Brake Tip If you notice your vehicle pulling to one side when the brakes are applied, this is a sign that your brake pads could be worn out.",1,1,0,0,1,0,0,0,0,0
"Diesel Engine Tip Signs of turbocharger problems include whistling and loss of power, blueish exhaust fumes, or increased oil consumption.",0,1,1,0,1,0,0,0,0,0
"Diesel Engine Tip If you ever notice your engine oil level is increasing, immediately have your diesel engine checked for fuel getting into the oil.",0,1,1,0,1,0,0,0,0,0
Diesel Engine Tip One way to increase the performance of your diesel vehicle is to improve airflow to the engine by adding an upgraded air flow kit.,0,0,0,0,1,0,1,0,0,0
Maintenance Tip Take the time to read your owner's manual.  It will have valuable info about preventative maintenance and important specifications.,1,1,1,1,1,0,0,0,0,0
"Parking Brake Tip While not a substitute for a professional inspection, at least yearly test your emergency brake when rolling on a slight hill.",1,1,0,0,0,0,0,0,0,0
Tire Care Tip Having your tires regularly balanced will give you a smoother ride and reduced tire tread wear.,0,0,1,1,1,0,1,0,0,0
Tire Care Tip Refer to your owner's manual for the tire rotation recommendations for your particular vehicle.,0,0,0,1,1,0,0,0,0,0
"Warning Light Tip If your engine temperature warning light comes on, pull over and turn your engine off.  Overheating can destroy your engine.",0,1,0,1,1,0,0,0,0,0
Wheel Tip Have your wheel alignment checked any time you notice problems with your vehicle's handling.,1,0,1,0,1,0,0,0,0,0
"Windshield Tip Don't wait for your windshield wipers to fail.  Wipers should be routinely replaced twice a year, before you have a problem.",1,1,0,0,1,0,0,0,0,0
"Windshield Tip Using damaged wipers can cause scratches and obstruct your view, which can lead to needing to replace your entire windshield.",1,0,0,1,1,0,0,0,0,0
"Diesel Engine Tip Diesel engine gaskets should be checked often, and if a leak is found, the entire set should be promptly replaced.",0,1,1,1,1,0,0,0,0,0
"Diesel Performance Tip Upgrading your diesel vehicle's air intake pushes more fuel-burning oxygen into the engine, increasing its performance horsepower.",0,0,0,0,1,0,1,0,0,0
"Diesel Performance Tip To increase the horsepower of your vehicle's diesel engine, consider upgrading it with a performance camshaft.",0,0,0,0,1,0,1,0,0,0
"Automotive Care Tip Having poor alignment can lead to a collision, and a collision can lead to poor alignment.",1,0,1,1,1,0,0,0,0,0
"Repair Tip For models after 1996, a diagnostic scan can check every computer system, sensor, and automatic feature on your vehicle.",0,1,1,0,0,0,0,0,0,0
Vehicle Mod Tip Want the feel of tighter steering performance? Consider having the rubber bushings in your steering rack replaced with polyurethane.,0,0,0,0,1,0,1,0,0,0
"Exhaust Mod Tip To increase power and enhance sound, distinct muffler choices include: chambered; absorption; and turbo style.",0,0,0,0,1,0,1,0,0,0
Brake Tip A grinding noise from your brakes is a dangerous indication that braking material may be worn out and is rubbing against the rotors.,1,1,0,0,1,0,0,0,0,0
"Battery Tip It's important have your battery and electrical system tested regularly, not just when it's starting to show signs of weakness.",0,1,0,0,1,0,0,0,0,0
"Motor Oil Tip Your oil level should be checked frequently. If you run your vehicle without the right amount of oil, you risk harming your engine.",0,1,0,1,1,0,0,0,0,0
"Engine Tip If you hear tapping or clicking from your engine, have it checked out immediately, before small problems become big ones.",0,1,0,1,1,0,0,0,0,0
"Brake Fluid Tip Beyond topping up, you should have your brake fluid changed every 2 years, or according to your manufacturer's recommendation.",1,1,0,1,1,0,0,0,0,0
Battery Tip Your battery hold-down brackets should be regularly checked to prevent vibration that can cause internal damage and short circuits.,0,1,0,1,1,0,0,0,0,0
"Wipers Tip If your wiper fluid doesn't spray properly to ensure safe visibility, it should be checked for clogged wiper fluid nozzles or lines.",1,1,0,0,1,0,0,0,0,0
Engine Tip A squealing noise from the front of your vehicle could be an indication that your serpentine belt is slipping or misaligned.,1,1,0,0,1,0,0,0,0,0
"Spark Plug Tip If you vehicle has trouble starting, this could be a sign that your spark plugs are worn or fouled, and should be replaced.",0,1,1,0,1,0,1,0,0,0
"Motor Oil Tip Motor oil is generally transparent amber-colored. If oil on the dipstick appears black, it's a sign you're due for an oil change.",0,1,0,1,1,0,0,0,0,0
"ABS Tip An anti-lock brake system is sensitive to moisture. Brake fluid attracts moisture, so it should be bled and replaced regularly.",1,1,0,1,1,0,0,0,0,0
"Motor Oil Tip To properly check your oil level, run or drive your car for at least 15 minutes to warm up the oil, then park on a level surface.",0,1,0,0,0,0,0,0,0,0
"Vehicle Knocking Tip If your vehicle knocks while accelerating or climbing hills, it's a likely sign of engine inefficiency and the need for a tune-up.",0,1,1,0,1,0,0,0,0,0
"Oil Level Tip Check your oil level often. Driving a quart low puts tremendous stress on the remaining oil, dramatically reducing its useful life.",0,1,0,1,1,0,0,0,0,0
"Suspension Tip After you vehicle hits a bump, if you feel excessive bouncing or hear a clunking noise, your shocks and struts should be checked.",1,1,0,0,1,0,0,0,0,0
"Radiator Tip Radiator fluid is typically bright yellow or green, and in some cases pink or red. But if contaminated, it will turn rusty colored.",0,1,0,1,1,0,0,0,0,0
Antifreeze Tip Clean up any leaks of antifreeze. Dogs and cats find antifreeze quite tasty and even very small amounts of antifreeze can be fatal.,0,0,0,0,0,0,0,0,1,0
"Transmission Tip A buzzing, clicking, humming, roaring noise from inside your automatic transmission is usually a symptom of an internal problem.",0,1,0,0,1,0,0,0,0,0
"Radiator Tip If the heater in your vehicle begins to blow cool air, stop driving, as the fluid level in your radiator may be too low.",0,1,0,1,1,0,0,0,0,0
Radiator Tip Do not mix different color coolants. This can form a gel-like substance that can cause blockages that result in major engine damage.,0,1,0,1,1,0,0,0,0,0
"Diesel Engine Tip Symptoms of faulty diesel injectors include poor idling, engine vibrations, rough acceleration, and poor fuel economy.",0,1,1,0,1,0,1,0,0,0
"Braking Tip If you sense a soft brake pedal, this can be due to fluid leaks in the master cylinder or brake lines, and should be checked soon.",1,1,0,0,1,0,0,0,0,0
"Exhaust System Tip On vehicles over 5 years old, you should have a thorough inspection of the exhaust system once a year to check for leaks and damage.",1,1,1,0,1,0,0,0,0,0
Exhaust System Tip A high-pitched hiss or whistle from your tailpipe can be the result of back pressure due to a restriction in your exhaust system.,1,1,1,0,1,0,0,0,0,0
"Exhaust System Tip If your gas pedal or steering wheel vibrates during acceleration, this can be an indication of a potentially dangerous exhaust leak.",1,1,1,0,1,0,0,0,0,0
"Exhaust System Tip If your engine begins lacking power and is getting poor fuel mileage, this can be due to a potentially dangerous exhaust leak.",1,1,1,0,1,0,0,0,0,0
"Antifreeze Tip The right mix of antifreeze to water in your radiator is important, so you have both the correct boiling point and freeze protection.",0,1,0,0,1,0,0,0,0,0
"Window Wipers Tip If you ever notice the rubber on your wiper blade is chipped or rigid, the wiper blades should be replaced.",1,1,0,0,1,0,0,0,0,0
"Window Wipers Tip Wiper blades should be replaced when they leave streaks, miss areas, or smear water instead of wiping it away.",1,1,0,0,1,0,0,0,0,0
"Window Wipers Tip If one wiper is in poor condition, it's likely that the other will fail soon, so both should be replaced together.",1,1,0,0,0,0,0,0,0,0
"Oil Change Tip During every oil change, it is important that the oil drain plug is cleaned and the seal checked and replaced if it is worn.",0,1,0,0,0,0,0,0,0,0
"Ball Joint Tip If you hear 'clunking' noises coming from the front of your vehicle, this is a common symptom of ball joint problems.",1,1,0,0,1,0,0,0,0,0
Ball Joint Tip Excessive vibration from your vehicles front end can be an indication of loose ball joints.,1,1,0,0,1,0,0,0,0,0
"Ball Joint Tip If you notice that your vehicle drifts left or right on it's own, this can be an indication that you have ball joint problems.",1,1,0,0,1,0,0,0,0,0
"Suspension Tip A sway bar is a suspension component that reduces the amount of body roll, or lean, that your vehicle experiences during cornering.",1,1,0,0,1,0,0,0,0,0
"Headlight Tip If you have an older vehicle with plastic headlight covers, make sure they are still clear enough to let sufficient light through.",1,0,0,0,1,0,0,0,0,0
